# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock'
# Event count (approx.): 5728642500
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  ....................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.09%  [kernel.kallsyms]     [k] kernel_init_pages                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.09%  [kernel.kallsyms]     [k] ksys_lseek                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.09%  [kernel.kallsyms]     [k] shmem_alloc_and_add_folio                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.09%  [kernel.kallsyms]     [k] shmem_get_folio_gfp                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.09%  [kernel.kallsyms]     [k] shmem_recalc_inode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.09%  [kernel.kallsyms]     [k] x64_sys_call                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.09%  libc.so.6             [.] __strlen_evex                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.09%  libc.so.6             [.] __syscall_cancel                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.09%  libc.so.6             [.] _int_realloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.09%  libc.so.6             [.] realloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.09%  pin.so                [.] <pin_core::codec::bytes::Reader>::u16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.09%  pin.so                [.] <pin_core::codec::bytes::Writer>::var_u32                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.09%  pin.so                [.] <pin_core::mutable::document::DocumentTerms as core::iter::traits::iterator::Iterator>::next                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.09%  pin.so                [.] <pin_core::mutable::page::Page>::append_owner                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.09%  pin.so                [.] <pin_core::mutable::page::Page>::bytes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.09%  pin.so                [.] <pin_core::mutable::page::Page>::check_next                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.09%  pin.so                [.] <pin_core::mutable::page::Page>::u16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.09%  pin.so                [.] <pin_core::mutable::page::Page>::u32                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.09%  pin.so                [.] UnlockReleaseBuffer@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.09%  pin.so                [.] __rustc::__rust_alloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.09%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), pin::storage_impl::with_writer<(pin_core::mutable::compact::CompactStats, u32), pin::parallel::with_maintenance<(pin_core::mutable::compact::CompactStats, u32), pin::am::compact_cleanup::{closure#1}>::{closure#1}>::{closure#1}>::{closure#0}>                                                                                                                                                                                                                                                             -      -            
     0.09%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<*mut pgrx_pg_sys::include::pg18::varlena, pgrx_pg_sys::include::pg18::pg_detoast_datum_packed::{closure#0}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.09%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<u32, <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}::{closure#0}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.09%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), pin::storage_impl::with_writer<pin_core::mutable::page::OwnerRef, pin::am::insert_value::{closure#1}>::{closure#1}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.09%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<u32, <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}::{closure#0}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.09%  pin.so                [.] pin::am::insert::insert_inner                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.09%  pin.so                [.] pin_core::mutable::following                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
